,path,angle,speed
0,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184212651.jpg,0.0,0.0
1,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184226668.jpg,0.0,0.0
2,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184241957.jpg,0.0,0.0
3,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184266507.jpg,0.0,0.0
4,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184306839.jpg,0.0,0.0
5,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184318028.jpg,0.0,0.0
6,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184328027.jpg,0.0,0.0
7,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184338976.jpg,0.0,0.0
8,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184378724.jpg,0.0,0.0
9,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184408076.jpg,0.0,0.0
10,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184438928.jpg,0.0,0.0
11,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184471208.jpg,0.0,0.0
12,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184506987.jpg,0.0,0.0
13,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_166986318453858.jpg,0.0,0.0
14,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184570417.jpg,0.0,0.0
15,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184606467.jpg,0.0,0.0
16,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_166986318463849.jpg,0.0,0.0
17,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184670506.jpg,0.0,0.0
18,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184706788.jpg,0.0,0.0
19,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184738617.jpg,0.0,0.0
20,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184770354.jpg,0.0,0.0
21,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184806857.jpg,0.0,0.0
22,/home/pi/IoT_class_Data_collec/AIoT/IMG0/Image_1669863184838459.jpg,0.0,0.0
